epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.201,1.38497,4.95693,0.01616,0.29399,0.21457,0.18237,0.10631,1.48425,8.51455,0.03436,0.000551887,0.000551887,0.000551887
2,726.512,1.43544,3.7485,0.01681,0.43004,0.30019,0.31579,0.19282,1.58664,4.34536,0.03535,0.00110207,0.00110207,0.00110207
3,1057.13,1.51127,3.0974,0.01819,0.40265,0.32569,0.30447,0.15082,1.74956,3.70363,0.03938,0.00164675,0.00164675,0.00164675
4,1390.54,1.56009,2.79528,0.0192,0.42855,0.3148,0.24405,0.11352,1.87358,3.41634,0.04396,0.00164225,0.00164225,0.00164225
5,1725.52,1.53755,2.65355,0.01869,0.36652,0.46771,0.35446,0.17906,1.79398,2.72365,0.0434,0.00163399,0.00163399,0.00163399
6,2061.25,1.52144,2.54573,0.01848,0.47017,0.41159,0.41112,0.24094,1.64438,2.4884,0.03984,0.00162574,0.00162574,0.00162574
7,2394.08,1.51184,2.5059,0.0183,0.55295,0.46559,0.4664,0.2515,1.72571,2.04799,0.04125,0.00161749,0.00161749,0.00161749
8,2723.41,1.49107,2.40089,0.01798,0.61,0.48576,0.52139,0.29165,1.59513,1.97747,0.03568,0.00160924,0.00160924,0.00160924
9,3056.92,1.47555,2.34138,0.01736,0.60979,0.57395,0.59067,0.33613,1.59822,1.86805,0.03672,0.00160099,0.00160099,0.00160099
10,3385.06,1.48066,2.31395,0.0178,0.65347,0.49802,0.54428,0.30803,1.71049,1.97468,0.04501,0.00159274,0.00159274,0.00159274
11,3718.55,1.45607,2.23551,0.01708,0.63905,0.54507,0.57634,0.34558,1.51377,1.76803,0.03502,0.00158448,0.00158448,0.00158448
12,4051.18,1.41274,2.17922,0.01679,0.56038,0.57663,0.56795,0.32535,1.65735,1.95982,0.03878,0.00157623,0.00157623,0.00157623
13,4380.75,1.43592,2.17796,0.01686,0.63215,0.54779,0.60589,0.33474,1.61865,2.01916,0.0403,0.00156798,0.00156798,0.00156798
14,4710,1.4122,2.10017,0.0165,0.62681,0.57987,0.61119,0.36539,1.56482,1.69596,0.03615,0.00155973,0.00155973,0.00155973
15,5039.68,1.39999,2.05412,0.01654,0.72171,0.59194,0.66799,0.43151,1.33738,1.5034,0.03062,0.00155148,0.00155148,0.00155148
16,5370.23,1.37669,2.04649,0.01614,0.6907,0.59094,0.65762,0.41141,1.43022,1.5396,0.03286,0.00154323,0.00154323,0.00154323
17,5704.47,1.35957,2.00654,0.01602,0.69109,0.6135,0.66304,0.41145,1.41508,1.61215,0.03205,0.00153497,0.00153497,0.00153497
18,6039.93,1.37904,2.02214,0.01605,0.6737,0.65731,0.69798,0.44463,1.39328,1.43654,0.0318,0.00152672,0.00152672,0.00152672
19,6389.42,1.34372,1.95077,0.01561,0.68552,0.6375,0.69268,0.44432,1.35307,1.34833,0.03039,0.00151847,0.00151847,0.00151847
20,6919.74,1.35652,1.92723,0.01572,0.63829,0.65575,0.67711,0.4264,1.39476,1.46969,0.03425,0.00151022,0.00151022,0.00151022
21,7274.93,1.35103,1.93201,0.01594,0.73685,0.62539,0.69581,0.45327,1.35201,1.34973,0.0309,0.00150197,0.00150197,0.00150197
22,7606.92,1.3377,1.8753,0.0156,0.72121,0.60417,0.66246,0.43188,1.34603,1.49896,0.02869,0.00149372,0.00149372,0.00149372
