epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.777,1.44322,6.69389,0.01679,0.00331,0.51605,0.03839,0.01639,1.67434,9.07531,0.02365,0.00030006,0.00030006,0.00030006
2,185.083,1.40996,5.58099,0.01505,0.00322,0.5854,0.10429,0.04535,1.54292,8.92272,0.02152,0.000610684,0.000610684,0.000610684
3,267.118,1.40039,5.34579,0.0149,0.00349,0.69824,0.07815,0.03247,1.51197,8.59891,0.02102,0.000915036,0.000915036,0.000915036
4,352.611,1.49267,4.78932,0.01676,0.7009,0.02192,0.13979,0.06188,1.4914,7.95067,0.01947,0.00121312,0.00121312,0.00121312
5,440.916,1.56135,4.70186,0.01686,0.34168,0.1074,0.17159,0.07592,1.62242,7.4948,0.02271,0.00150493,0.00150493,0.00150493
6,531.269,1.57312,4.07614,0.01763,0.23493,0.13121,0.11936,0.05161,1.81872,6.96185,0.02572,0.00158448,0.00158448,0.00158448
7,618.652,1.51829,3.73402,0.01788,0.27889,0.23991,0.21466,0.09823,1.81462,6.15724,0.02586,0.00156798,0.00156798,0.00156798
8,701.483,1.54069,3.48187,0.01744,0.31304,0.24044,0.19314,0.08648,1.91025,5.35394,0.02739,0.00155148,0.00155148,0.00155148
9,800.513,1.55316,3.30539,0.0172,0.22672,0.18892,0.1515,0.06652,1.86219,4.96176,0.02776,0.00153497,0.00153497,0.00153497
10,900.245,1.59713,3.10659,0.01889,0.3628,0.32011,0.29853,0.12373,1.82084,4.43668,0.02619,0.00151847,0.00151847,0.00151847
11,1001.23,1.54029,3.08095,0.01763,0.33277,0.31263,0.25819,0.11974,1.83169,3.92561,0.02746,0.00150197,0.00150197,0.00150197
12,1108.41,1.56386,2.84256,0.01701,0.37529,0.2412,0.2138,0.10165,1.81832,3.84133,0.0256,0.00148546,0.00148546,0.00148546
13,1206.66,1.52242,2.75904,0.01705,0.29823,0.23311,0.22455,0.10118,1.85397,3.6365,0.02773,0.00146896,0.00146896,0.00146896
14,1302.74,1.52634,2.68703,0.01828,0.38761,0.35382,0.36182,0.13747,1.94587,3.37219,0.02795,0.00145246,0.00145246,0.00145246
15,1399.45,1.52026,2.36407,0.0176,0.4971,0.36438,0.34584,0.12994,1.86898,3.26167,0.02741,0.00143595,0.00143595,0.00143595
16,1496.56,1.53052,2.43241,0.01879,0.56343,0.39664,0.42867,0.17155,1.89401,3.12709,0.02681,0.00141945,0.00141945,0.00141945
17,1597.55,1.53716,2.26827,0.0181,0.46844,0.39829,0.3933,0.17327,1.83913,2.95373,0.02631,0.00140295,0.00140295,0.00140295
18,1698.4,1.50896,2.27251,0.01806,0.48546,0.40484,0.39303,0.16236,1.82267,2.70789,0.02559,0.00138644,0.00138644,0.00138644
19,1794.73,1.53186,2.01794,0.01726,0.31435,0.38121,0.318,0.15176,1.89098,2.62091,0.02784,0.00136994,0.00136994,0.00136994
20,1890.56,1.60705,2.0421,0.0187,0.50979,0.44591,0.44153,0.21525,1.72884,2.54881,0.02381,0.00135344,0.00135344,0.00135344
21,1992.98,1.58561,1.96037,0.01719,0.5977,0.36342,0.39303,0.1801,1.94305,2.67104,0.02766,0.00133693,0.00133693,0.00133693
22,2086.57,1.54759,2.00747,0.01745,0.5066,0.37112,0.37184,0.15902,1.90798,2.70319,0.0273,0.00132043,0.00132043,0.00132043
23,2188.14,1.49945,1.86535,0.01729,0.50201,0.44504,0.45182,0.18012,1.87337,2.41334,0.02554,0.00130393,0.00130393,0.00130393
24,2290.47,1.48955,1.76933,0.01629,0.43416,0.35611,0.3577,0.18247,1.76402,2.52333,0.02592,0.00128742,0.00128742,0.00128742
25,2397.58,1.48631,1.80259,0.01709,0.60304,0.47101,0.41965,0.18222,1.79836,2.46159,0.02602,0.00127092,0.00127092,0.00127092
26,2504.02,1.46306,1.82597,0.01615,0.49905,0.45402,0.42137,0.1937,1.78033,2.31972,0.02468,0.00125442,0.00125442,0.00125442
27,2605.63,1.47712,1.78058,0.0162,0.58326,0.47308,0.4523,0.21234,1.79468,2.25299,0.02624,0.00123791,0.00123791,0.00123791
