epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,528.282,1.26747,6.35172,0.02339,0.00994,0.92188,0.14517,0.09875,0.9096,7.09391,0.02382,0.00988636,0.00329545,0.00988636,0.00329545,0.00988636,0.00329545,0.00988636,0.00329545
2,902.194,1.22168,4.65241,0.02259,0.33675,0.24595,0.20713,0.11474,1.51819,4.70192,0.04244,0.0198667,0.00662223,0.0198667,0.00662223,0.0198667,0.00662223,0.0198667,0.00662223
3,1280.23,1.38591,3.3895,0.02587,0.57174,0.21875,0.30379,0.12097,1.87944,3.39198,0.05446,0.0298272,0.0099424,0.0298272,0.0099424,0.0298272,0.0099424,0.0298272,0.0099424
4,1629.04,1.51746,2.80979,0.02996,0.36157,0.23438,0.22293,0.09784,2.03957,3.47603,0.06168,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
5,1960.1,1.59252,2.55347,0.03234,0.31997,0.33452,0.25329,0.09309,2.12082,2.99948,0.06284,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
6,2291.54,1.61668,2.48688,0.03177,0.25724,0.25781,0.22129,0.09925,2.07201,3.4587,0.06172,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
7,2622.87,1.62372,2.39428,0.0327,0.38888,0.29688,0.31004,0.11129,2.1228,2.915,0.06191,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
8,2952.91,1.5675,2.29663,0.03144,0.38768,0.25,0.23934,0.09506,1.93265,3.18234,0.0577,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
9,3284.62,1.5637,2.25861,0.0311,0.42719,0.33794,0.37156,0.15412,2.07043,2.29391,0.06001,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
10,3613.89,1.56272,2.1504,0.03105,0.44056,0.3125,0.32122,0.13805,2.06074,2.91005,0.06383,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109,0.0297327,0.0099109
11,3932.87,1.52154,2.12407,0.02949,0.50477,0.35156,0.3672,0.19687,2.07511,2.65201,0.06173,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
12,4252.17,1.55964,2.06388,0.02973,0.52613,0.23438,0.28781,0.11444,2.21218,3.33451,0.06705,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911,0.0296733,0.0098911
13,4572.75,1.529,2.0206,0.02928,0.52738,0.42188,0.40976,0.18941,1.85401,2.3347,0.05448,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
14,4892.12,1.48993,1.97714,0.02896,0.60063,0.38776,0.48442,0.22217,1.75802,2.1765,0.04843,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713,0.0296139,0.0098713
15,5211.3,1.51457,1.92385,0.02943,0.65365,0.44236,0.48488,0.21811,1.83875,2.3832,0.05367,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
16,5529.07,1.48484,1.86995,0.02883,0.52254,0.36719,0.43152,0.21745,1.7125,2.47951,0.04934,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
17,5847.42,1.4994,1.8379,0.02899,0.50961,0.35938,0.3915,0.17439,2.01855,2.48445,0.05834,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
18,6166.82,1.48913,1.79588,0.02897,0.65835,0.57208,0.63718,0.29867,1.82518,1.7401,0.05056,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317,0.0294951,0.0098317
19,6485.9,1.46783,1.76793,0.02792,0.61325,0.40883,0.50216,0.23453,2.02621,2.36816,0.05654,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
20,6803.76,1.46702,1.73765,0.02753,0.6221,0.5,0.52398,0.23455,1.94244,2.40743,0.05149,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119,0.0294357,0.0098119
21,7124.36,1.46747,1.63687,0.0278,0.55364,0.44575,0.50141,0.23571,1.81,2.24862,0.05086,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
22,7446.7,1.46116,1.67239,0.0284,0.5975,0.375,0.46801,0.22036,1.85899,2.66684,0.05372,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921,0.0293763,0.0097921
23,7764.1,1.46157,1.71548,0.02732,0.53441,0.41406,0.42162,0.21575,1.8129,2.55683,0.04978,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
24,8082.32,1.43216,1.58787,0.02693,0.70451,0.45312,0.48484,0.26671,1.66075,2.28518,0.04692,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723,0.0293169,0.0097723
25,8466.49,1.46096,1.58649,0.02808,0.55625,0.49219,0.51245,0.24466,1.68677,2.09378,0.04806,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
26,8807.44,1.40876,1.60431,0.02638,0.50582,0.28125,0.35984,0.18614,1.85941,3.03965,0.05563,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
27,9141.92,1.40824,1.55786,0.02637,0.48493,0.35938,0.40034,0.19844,1.90749,2.48775,0.05542,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
