epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.384,1.44322,6.69389,0.01679,0.00331,0.51605,0.03839,0.01639,1.67434,9.07531,0.02365,0.00030006,0.00030006,0.00030006
2,206.437,1.42023,5.59462,0.01523,0.00334,0.62345,0.07407,0.03387,1.5179,8.81441,0.02112,0.000596436,0.000596436,0.000596436
3,302.054,1.46988,5.38095,0.0163,0.00363,0.67029,0.09053,0.03769,1.67506,8.62765,0.02332,0.000871908,0.000871908,0.000871908
4,384.622,1.4699,4.84348,0.0168,0.75898,0.02932,0.14947,0.05639,1.72544,8.23976,0.02503,0.00112648,0.00112648,0.00112648
5,464.631,1.58011,4.79758,0.01731,0.36805,0.08847,0.1421,0.06264,1.63262,7.53576,0.02245,0.00136014,0.00136014,0.00136014
6,555.183,1.60298,4.14472,0.01822,0.26894,0.19099,0.20265,0.09421,1.77008,6.55231,0.0252,0.00139195,0.00139195,0.00139195
7,651.975,1.50009,3.71397,0.0172,0.27803,0.26035,0.22491,0.09698,1.76852,6.02608,0.02523,0.00133693,0.00133693,0.00133693
8,738.673,1.50665,3.52444,0.01682,0.30784,0.26024,0.20465,0.08544,1.6958,5.42443,0.02448,0.00128192,0.00128192,0.00128192
9,824.958,1.51424,3.28245,0.01632,0.38651,0.22904,0.25512,0.11989,1.65537,4.94001,0.02279,0.00122691,0.00122691,0.00122691
10,905.434,1.48007,3.1208,0.01744,0.26697,0.30134,0.24625,0.12288,1.76088,4.37807,0.02554,0.0011719,0.0011719,0.0011719
11,985.723,1.51998,3.09441,0.01837,0.43823,0.35425,0.32405,0.13979,1.81227,3.91104,0.02502,0.00111689,0.00111689,0.00111689
12,1067.84,1.55678,2.87741,0.01711,0.55649,0.35145,0.38266,0.18779,1.73038,3.74277,0.02434,0.00106188,0.00106188,0.00106188
13,1150.12,1.49115,2.73109,0.01634,0.40964,0.31263,0.31557,0.15902,1.70844,3.57596,0.02365,0.00100687,0.00100687,0.00100687
14,1232.31,1.46202,2.66201,0.01735,0.39816,0.39079,0.35968,0.16269,1.71899,3.42788,0.02367,0.000951857,0.000951857,0.000951857
15,1313.43,1.50332,2.36593,0.01733,0.52515,0.36477,0.39369,0.19232,1.68739,3.34394,0.02385,0.000896846,0.000896846,0.000896846
16,1396.13,1.47645,2.37633,0.01774,0.57916,0.33644,0.40167,0.19997,1.72239,3.12849,0.02418,0.000841835,0.000841835,0.000841835
17,1477.11,1.46963,2.23359,0.01626,0.54142,0.3831,0.43531,0.23329,1.67014,3.04316,0.02351,0.000786824,0.000786824,0.000786824
18,1559.48,1.48066,2.32419,0.01641,0.52805,0.45745,0.50412,0.26431,1.71195,2.85256,0.02382,0.000731813,0.000731813,0.000731813
19,1642.7,1.41698,2.01386,0.01521,0.52578,0.44928,0.46787,0.24093,1.76553,2.81595,0.02469,0.000676802,0.000676802,0.000676802
20,1722.37,1.49152,2.07661,0.0161,0.63344,0.41253,0.46128,0.22127,1.7785,2.72603,0.02609,0.000621791,0.000621791,0.000621791
21,1802.35,1.41145,2.37584,0.02012,0.60748,0.39317,0.43615,0.2109,1.72182,2.78342,0.02474,0.00056678,0.00056678,0.00056678
22,1881.18,1.38246,2.11848,0.01955,0.61825,0.43135,0.48954,0.25452,1.75614,2.5861,0.02413,0.000511769,0.000511769,0.000511769
23,1960.16,1.39672,2.01423,0.01848,0.67709,0.45135,0.50346,0.2674,1.69395,2.49213,0.02386,0.000456758,0.000456758,0.000456758
24,2040.71,1.38091,1.92572,0.01745,0.62374,0.46014,0.51092,0.27612,1.71133,2.39709,0.02336,0.000401747,0.000401747,0.000401747
25,2125.14,1.36506,1.86948,0.01866,0.73013,0.41123,0.51898,0.27494,1.68231,2.43357,0.02277,0.000346736,0.000346736,0.000346736
26,2205.47,1.31469,1.77316,0.01734,0.51005,0.47852,0.49691,0.26549,1.65157,2.4986,0.02223,0.000291725,0.000291725,0.000291725
27,2284.13,1.32332,1.74917,0.01881,0.5682,0.49535,0.50521,0.27631,1.68038,2.48317,0.02326,0.000236714,0.000236714,0.000236714
28,2366.65,1.31214,1.64867,0.01834,0.58657,0.56289,0.52149,0.28218,1.68483,2.45044,0.02329,0.000181703,0.000181703,0.000181703
29,2451.49,1.27418,1.60971,0.01633,0.55819,0.54451,0.51826,0.28411,1.68103,2.43599,0.02362,0.000126692,0.000126692,0.000126692
30,2531.56,1.27977,1.58332,0.01583,0.58084,0.54959,0.5314,0.28643,1.63234,2.44373,0.02244,7.1681e-05,7.1681e-05,7.1681e-05
