epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.839,0.9604,5.64984,0.02178,0.00494,0.9375,0.07561,0.05517,1.07917,8.8167,0.02799,0.00048,0.00048,0.00048
2,324.872,0.95114,4.64523,0.02054,0.00494,0.9375,0.14773,0.069,1.53919,8.94395,0.04274,0.00094766,0.00094766,0.00094766
3,520.305,1.14673,4.11768,0.02534,0.67284,0.08594,0.2718,0.14252,1.37234,7.77075,0.03835,0.00138232,0.00138232,0.00138232
4,709.773,1.16069,3.47333,0.02612,0.351,0.21875,0.20972,0.07726,1.6983,7.29995,0.04905,0.00178398,0.00178398,0.00178398
5,901.239,1.23918,3.19656,0.02724,0.28688,0.28906,0.20516,0.07399,1.7839,6.13882,0.05443,0.001736,0.001736,0.001736
6,1090.32,1.21591,2.76742,0.02832,0.25464,0.35156,0.20661,0.06963,1.92621,5.36133,0.05869,0.00167,0.00167,0.00167
7,1284.51,1.29833,2.63129,0.03054,0.37684,0.38281,0.27853,0.13983,1.77119,4.18387,0.05248,0.001604,0.001604,0.001604
8,1453.73,1.30618,2.25873,0.02975,0.45133,0.37276,0.32886,0.14254,1.76328,3.69095,0.05214,0.001538,0.001538,0.001538
9,1568.57,1.28815,2.03172,0.02876,0.45882,0.39062,0.3942,0.17057,1.873,3.19294,0.05583,0.001472,0.001472,0.001472
10,1669.72,1.19845,1.86765,0.02707,0.55637,0.39193,0.41576,0.19549,1.68935,2.95865,0.04674,0.001406,0.001406,0.001406
11,1770.97,1.25137,1.79136,0.0289,0.48217,0.51562,0.48681,0.19019,1.7517,2.67237,0.05139,0.00134,0.00134,0.00134
12,1871.2,1.21018,1.66744,0.02882,0.56257,0.53125,0.53256,0.28195,1.49087,2.27971,0.04141,0.001274,0.001274,0.001274
13,1968.27,1.15903,1.59152,0.02549,0.57749,0.48053,0.51514,0.29079,1.49119,2.15736,0.03907,0.001208,0.001208,0.001208
14,2064.43,1.12388,1.46212,0.0248,0.59449,0.45814,0.51766,0.29708,1.49235,2.06156,0.04066,0.001142,0.001142,0.001142
15,2162.84,1.11616,1.43413,0.02478,0.52634,0.51562,0.53507,0.29704,1.39894,1.98794,0.03724,0.001076,0.001076,0.001076
16,2263.54,1.15366,1.37124,0.02527,0.54954,0.58141,0.60988,0.36841,1.32372,1.84993,0.03589,0.00101,0.00101,0.00101
17,2366.66,1.07047,1.2331,0.02365,0.60883,0.53505,0.56943,0.32215,1.38964,1.88636,0.03852,0.000944,0.000944,0.000944
18,2463.33,1.10972,1.33913,0.02373,0.70488,0.58594,0.65082,0.4125,1.31822,1.65637,0.03584,0.000878,0.000878,0.000878
19,2561.53,1.03864,1.23143,0.02273,0.71614,0.53906,0.61102,0.39573,1.33233,1.54822,0.03585,0.000812,0.000812,0.000812
20,2660.03,0.96654,1.12331,0.02155,0.68675,0.58235,0.634,0.39897,1.32819,1.5942,0.03543,0.000746,0.000746,0.000746
21,2753.75,0.93363,1.09315,0.02928,0.64866,0.57695,0.6357,0.38949,1.33816,1.78916,0.03482,0.00068,0.00068,0.00068
22,2843.24,0.85522,0.96257,0.02646,0.83583,0.46875,0.66013,0.4286,1.19824,1.61664,0.03209,0.000614,0.000614,0.000614
23,2933.9,0.78818,0.87833,0.02488,0.61865,0.62104,0.66576,0.46773,1.13744,1.4511,0.03012,0.000548,0.000548,0.000548
24,3023.67,0.76049,0.79499,0.02382,0.66496,0.59375,0.67752,0.46165,1.13758,1.44748,0.0294,0.000482,0.000482,0.000482
25,3117.7,0.82334,0.73858,0.02485,0.7873,0.54947,0.68101,0.48419,1.07386,1.41526,0.0273,0.000416,0.000416,0.000416
26,3212.62,0.74743,0.69912,0.02337,0.6937,0.60156,0.68758,0.48255,1.09835,1.33978,0.02758,0.00035,0.00035,0.00035
27,3312.01,0.76172,0.67362,0.02356,0.68476,0.59375,0.69101,0.49703,1.09552,1.30566,0.02765,0.000284,0.000284,0.000284
28,3403.59,0.69261,0.66984,0.02102,0.67768,0.59134,0.68018,0.49238,1.06411,1.3239,0.02705,0.000218,0.000218,0.000218
29,3493.44,0.65085,0.62889,0.0203,0.69666,0.55622,0.67765,0.50911,1.00764,1.34929,0.02561,0.000152,0.000152,0.000152
30,3583.38,0.64977,0.63022,0.01914,0.69923,0.57031,0.67512,0.51838,1.00313,1.34009,0.02524,8.6e-05,8.6e-05,8.6e-05
