epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,337.251,1.41818,5.10167,0.01662,0.7687,0.10968,0.15149,0.10748,1.22653,8.03498,0.02678,0.00993197,0.00331066,0.00993197,0.00331066,0.00993197,0.00331066,0.00993197,0.00331066
2,671.225,1.397,3.92142,0.01614,0.37606,0.22263,0.22903,0.15592,1.44334,4.39609,0.03048,0.0198925,0.00663084,0.0198925,0.00663084,0.0198925,0.00663084,0.0198925,0.00663084
3,1002.68,1.47476,3.15749,0.0174,0.29939,0.28135,0.21611,0.11562,1.77043,3.68941,0.03862,0.0298134,0.00993781,0.0298134,0.00993781,0.0298134,0.00993781,0.0298134,0.00993781
4,1336.47,1.58799,2.86177,0.01958,0.3998,0.34146,0.28395,0.16264,1.75261,3.28613,0.04023,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1666.87,1.57972,2.75618,0.01911,0.3897,0.35811,0.33162,0.18298,1.79371,2.8285,0.04239,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2000.57,1.57946,2.65073,0.01931,0.50925,0.44134,0.42222,0.24239,1.69317,2.60774,0.03946,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2332.46,1.56651,2.57978,0.01894,0.56707,0.47973,0.51749,0.29949,1.65083,2.19927,0.03804,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2663.83,1.55252,2.44655,0.01863,0.49067,0.47491,0.42917,0.23976,1.76642,2.64925,0.04221,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3000.6,1.53446,2.44161,0.01809,0.53408,0.51552,0.517,0.28755,1.58521,2.44795,0.03536,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3337.41,1.52632,2.37621,0.01808,0.63066,0.53741,0.57084,0.34676,1.52207,1.92161,0.03582,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3670.2,1.50445,2.29452,0.01758,0.60101,0.51061,0.5638,0.31316,1.66993,1.94537,0.03763,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
